[GENERAL]
DATE=July 16, 2018 at 17:47:41
CYME_VERSION=7.00
CYMDIST_REVISION=06

[SI]

[CONCENTRIC NEUTRAL CABLE]
FORMAT_CONCENTRICNEUTRALCABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,NumberOfPhases,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,PhaseCondID,NeutralCondID,NeutralWires,InsulationType,InsulationDielectricConst,InsulationDiameter,Dab,Dbc,Dac,RatedLevel,ContinuousTemperatureRating,SCCurrentTemperatureRating,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Favorite,Comments
DEFAULT,0.142000,0.277000,0.146000,0.072000,112.644000,112.644000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
#2_XLPE,0.769000,1.294300,0.312100,0.287700,58.147202,58.147202,160.000000,160.000000,160.000000,160.000000,160.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1/0_XLPE,0.517400,0.830100,0.267400,0.170300,69.152397,69.152397,217.000000,217.000000,217.000000,217.000000,217.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_#2CU_XLPE,0.769000,1.294300,0.312100,0.287700,58.147202,58.147202,160.000000,160.000000,160.000000,160.000000,160.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_1/0AL_XLPE,0.621000,1.149800,0.294600,0.275700,69.152397,69.152397,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_1/0CU_XLPE,0.517400,0.830100,0.267400,0.170300,69.152397,69.152397,217.000000,217.000000,217.000000,217.000000,217.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_2/0CU_XLPE,0.438500,0.662100,0.240700,0.136100,74.926201,74.926201,254.000000,254.000000,254.000000,254.000000,254.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_250CU_XLPE,0.262000,0.602000,0.245100,0.159700,92.699402,92.699402,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_3/0CU_XLPE,0.374200,0.530600,0.212300,0.112900,81.550697,81.550697,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_350CU_XLPE,0.213000,0.495500,0.226500,0.133400,106.388000,106.388000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_4/0CU_XLPE,0.280800,0.754300,0.266800,0.226300,89.063797,89.063797,304.000000,304.000000,304.000000,304.000000,304.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_500CU_XLPE,0.184700,0.344500,0.186300,0.092100,122.132004,122.132004,553.000000,553.000000,553.000000,553.000000,553.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
15KV_750CU_XLPE,0.152900,0.228400,0.140600,0.069200,141.587006,141.587006,696.000000,696.000000,696.000000,696.000000,696.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P10AL_2121,1.020300,0.342800,1.020300,0.342800,1.552800,1.552800,137.000000,137.000000,137.000000,137.000000,137.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P10AL_2122,1.020300,0.342800,1.020300,0.342800,1.552800,1.552800,188.000000,188.000000,188.000000,188.000000,188.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P10AL_2123,1.020300,0.342800,1.020300,0.342800,1.552800,1.552800,137.000000,137.000000,137.000000,137.000000,137.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
1P10AL_803,1.026600,0.318300,1.026600,0.318300,2.440200,2.440200,206.000000,206.000000,206.000000,206.000000,206.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
